id,name,area,population,male_population,female_population,sc_population,st_population,assembly_constituency_id,assembly_constituency_name,parliamentary_constituency_id,parliamentary_constituency_name
60,Gayithri Nagar,0.6458,33236,16934,16302,1022,325,157,Malleswaram,24,Bangalore North
61,Radhakrishna Temple Ward,2.0746,36921,18993,17928,3457,736,158,Hebbal,24,Bangalore North
62,Sanjaya Nagar,2.9781,34465,17710,16755,2577,576,158,Hebbal,24,Bangalore North
63,Hebbala,1.3286,37550,19302,18248,5668,862,158,Hebbal,24,Bangalore North
64,Vishwanath Nagenahalli,1.0899,32259,17051,15208,2757,463,158,Hebbal,24,Bangalore North
65,Manorayanapalya,0.7227,32275,16673,15602,2484,353,158,Hebbal,24,Bangalore North
66,Chamundi Nagara,0.6817,40675,20949,19726,1670,508,158,Hebbal,24,Bangalore North
67,Ganga Nagar,0.9681,35373,18041,17332,3630,406,158,Hebbal,24,Bangalore North
68,Jayachamarajendra  Nagar,1.4273,33247,16963,16284,3159,416,158,Hebbal,24,Bangalore North
69,Kaval Bairasandra,1.6162,40682,20582,20100,4771,739,159,Pulakeshi Nagar (Sc),24,Bangalore North
70,Kushal Nagar,0.5513,35194,17879,17315,4129,565,159,Pulakeshi Nagar (Sc),24,Bangalore North
71,Muneshwara Nagar,0.5026,37624,19161,18463,6023,364,159,Pulakeshi Nagar (Sc),24,Bangalore North
72,Devara Jeevanahalli,0.5154,38522,19706,18816,7371,366,159,Pulakeshi Nagar (Sc),24,Bangalore North
73,S K Garden,1.7601,36225,18938,17287,5961,529,159,Pulakeshi Nagar (Sc),24,Bangalore North
74,Sagayarapuram,0.7985,36876,18342,18534,10447,336,159,Pulakeshi Nagar (Sc),24,Bangalore North
75,Pulikeshinagar,2.1434,36315,18137,18178,4753,541,159,Pulakeshi Nagar (Sc),24,Bangalore North
76,Hennur,3.4851,36081,18612,17469,4770,571,160,Sarvargna Nagar,25,Bangalore Central
77,Nagavara,1.5066,42383,21747,20636,3218,665,160,Sarvargna Nagar,25,Bangalore Central
78,Hbr Layout,1.4813,42386,21569,20817,6020,987,160,Sarvargna Nagar,25,Bangalore Central
79,Kadugondanahalli,0.5776,37866,19152,18714,4511,933,160,Sarvargna Nagar,25,Bangalore Central
80,Kacharkanahalli,1.7678,33881,16936,16945,3429,528,160,Sarvargna Nagar,25,Bangalore Central
81,Kammanahalli,1.5241,36282,18235,18047,4368,606,160,Sarvargna Nagar,25,Bangalore Central
82,Banasavadi,2.4288,33446,17002,16444,4051,678,160,Sarvargna Nagar,25,Bangalore Central
83,Subbayyanapalya,0.7338,35961,18204,17757,8096,919,160,Sarvargna Nagar,25,Bangalore Central
84,Lingarajapura,1.1343,37322,18487,18835,3907,1108,160,Sarvargna Nagar,25,Bangalore Central
85,Maruthi Seva Nagar,2.1844,39837,19804,20033,10212,344,160,Sarvargna Nagar,25,Bangalore Central
86,Challakere,4.1204,37600,19453,18147,4169,465,151,K.R.Pura,24,Bangalore North
87,Horamavu,13.1096,37824,19806,18018,5416,612,151,K.R.Pura,24,Bangalore North
88,Kalkere,6.9274,42910,22138,20772,4542,1076,151,K.R.Pura,24,Bangalore North
89,Vijinapura,2.57,37238,19238,18000,5227,661,151,K.R.Pura,24,Bangalore North
90,Ramamurthy Nagar,1.7634,41393,21197,20196,11307,875,151,K.R.Pura,24,Bangalore North
91,K R Puram,4.6114,41709,21410,20299,3964,1047,151,K.R.Pura,24,Bangalore North
92,Basavanapura,6.0214,42178,21883,20295,7254,904,151,K.R.Pura,24,Bangalore North
93,Devasandra,3.6365,42538,22772,19766,5559,841,151,K.R.Pura,24,Bangalore North
94,A. Narayanapura,3.6151,43076,22491,20585,7968,657,151,K.R.Pura,24,Bangalore North
95,Vijnana Nagar,2.649,39954,20919,19035,3709,437,151,K.R.Pura,24,Bangalore North
96,Hal Airport,7.2249,40595,21101,19494,7658,1120,151,K.R.Pura,24,Bangalore North
97,Kadugodi,10.2374,43039,23064,19975,4537,778,174,Mahadevapura (Sc),25,Bangalore Central
98,Hudi,12.4629,37426,21084,16342,6542,655,174,Mahadevapura (Sc),25,Bangalore Central
99,Byrathi,11.9219,37902,20990,16912,5160,868,174,Mahadevapura (Sc),25,Bangalore Central
100,Garudachar Palya,4.6764,37813,21092,16721,5292,1025,174,Mahadevapura (Sc),25,Bangalore Central
101,Dodda Nekkundi,4.3496,35998,19129,16869,5368,788,174,Mahadevapura (Sc),25,Bangalore Central
102,Aecs Layout,6.1588,35972,18596,17376,3204,704,174,Mahadevapura (Sc),25,Bangalore Central
103,White Field,8.1507,40876,21282,19594,5676,695,174,Mahadevapura (Sc),25,Bangalore Central
104,Varthuru,28.408,39085,20076,19009,7098,662,174,Mahadevapura (Sc),25,Bangalore Central
105,Munekollal,8.4752,40571,22949,17622,6248,845,174,Mahadevapura (Sc),25,Bangalore Central
106,Marathahalli,9.9397,40767,23779,16988,4236,921,174,Mahadevapura (Sc),25,Bangalore Central
107,Bellanduru,10.4016,42527,22504,20023,2535,585,174,Mahadevapura (Sc),25,Bangalore Central
108,Cox Town,4.0105,41979,21250,20729,16662,630,161,C.V. Raman Nagar (Sc),25,Bangalore Central
109,Benniganahalli,3.7604,32869,18013,14856,3353,903,161,C.V. Raman Nagar (Sc),25,Bangalore Central
110,C V Raman Nagar,2.8627,38318,20100,18218,7318,596,161,C.V. Raman Nagar (Sc),25,Bangalore Central
111,Kaggadasanapura,1.6453,33145,17110,16035,1543,501,161,C.V. Raman Nagar (Sc),25,Bangalore Central
112,New Tippasandara,3.2182,42872,22211,20661,4409,774,161,C.V. Raman Nagar (Sc),25,Bangalore Central
113,Hoysala Nagar,2.0498,35228,17474,17754,11220,398,161,C.V. Raman Nagar (Sc),25,Bangalore Central
114,Jeevanbhima Nagar,1.8485,33649,17114,16535,7012,672,161,C.V. Raman Nagar (Sc),25,Bangalore Central
115,Konena Agrahara,2.16,42710,22306,20404,6875,312,161,C.V. Raman Nagar (Sc),25,Bangalore Central
116,Ramaswamypalya,0.8298,34394,17305,17089,8666,268,162,Shivaji Nagar,25,Bangalore Central
117,Vasanthnagar,4.3627,37267,18190,19077,3343,396,162,Shivaji Nagar,25,Bangalore Central
118,Sampangiram Nagar,3.9693,36827,18714,18113,4448,242,162,Shivaji Nagar,25,Bangalore Central
119,Shivaji Nagar,1.1449,34087,17359,16728,1791,189,162,Shivaji Nagar,25,Bangalore Central
120,Bharathi Nagar,0.627,33808,17190,16618,2725,105,162,Shivaji Nagar,25,Bangalore Central
121,Ulsoor,1.8085,35343,19749,15594,8589,369,162,Shivaji Nagar,25,Bangalore Central
122,Dattatreya Temple,0.7948,37419,19148,18271,4895,488,164,Gandhi Nagar,25,Bangalore Central
123,Gandhinagar,1.9501,32319,17899,14420,6379,264,164,Gandhi Nagar,25,Bangalore Central
124,Subhash Nagar,1.2378,33719,17295,16424,14923,594,164,Gandhi Nagar,25,Bangalore Central
125,Okalipuram,0.7694,34164,17484,16680,5273,334,164,Gandhi Nagar,25,Bangalore Central
126,Binnipete,0.8103,40033,20517,19516,5857,1004,164,Gandhi Nagar,25,Bangalore Central
127,Cottonpete,0.7482,37500,19256,18244,5504,445,164,Gandhi Nagar,25,Bangalore Central
128,Chickpete,0.7129,33292,17629,15663,277,185,164,Gandhi Nagar,25,Bangalore Central
129,Dayananda Nagar,0.547,42587,21728,20859,11129,304,165,Rajaji Nagar,25,Bangalore Central
130,Sriramamandir,0.9893,40645,20674,19971,1861,291,165,Rajaji Nagar,25,Bangalore Central
131,Shivanagara,0.9498,36054,18623,17431,960,468,165,Rajaji Nagar,25,Bangalore Central
132,Rajaji Nagar,1.0879,42987,22043,20944,3621,418,165,Rajaji Nagar,25,Bangalore Central
133,Basaveshwara Nagar,0.7282,33122,17204,15918,1838,536,165,Rajaji Nagar,25,Bangalore Central
134,Kamakshipalya,1.162,37034,19207,17827,3029,569,165,Rajaji Nagar,25,Bangalore Central
135,Dr. Raj Kumar Agrahara Dasarahalli,1.2212,38772,20073,18699,4561,1060,166,Govindraja Nagar,26,Bangalore South
136,Govindaraja Nagar,1.1009,35632,18382,17250,3209,627,166,Govindraja Nagar,26,Bangalore South
137,Marenahalli,0.9978,32005,16399,15606,1273,377,166,Govindraja Nagar,26,Bangalore South
138,Kaveripura,1.2868,35628,19334,16294,1543,726,166,Govindraja Nagar,26,Bangalore South
139,Mudalapalya,0.67,32137,16719,15418,1476,637,166,Govindraja Nagar,26,Bangalore South
140,Maruthi Mandir Ward,0.7818,32510,16952,15558,1500,492,166,Govindraja Nagar,26,Bangalore South
141,Nagarabhavi,2.1696,33584,17168,16416,2320,495,166,Govindraja Nagar,26,Bangalore South
142,Chandralayout,0.8558,32840,16772,16068,2100,411,166,Govindraja Nagar,26,Bangalore South
143,Nayandahalli,1.2405,32617,16856,15761,4990,619,166,Govindraja Nagar,26,Bangalore South
144,Kempapura Agrahara,0.339,36710,18704,18006,872,2247,167,Vijaya Nagar,26,Bangalore South
145,Vijayanagar,0.6327,35209,18264,16945,1670,558,167,Vijaya Nagar,26,Bangalore South
146,Hosahalli,0.7694,39400,20046,19354,4832,954,167,Vijaya Nagar,26,Bangalore South
147,Hampi Nagar,1.1807,34725,17664,17061,1599,436,167,Vijaya Nagar,26,Bangalore South
148,New Guddadahalli,0.7036,33516,17496,16020,2169,531,167,Vijaya Nagar,26,Bangalore South
